ENDEKSA_IL,ENDEKSA_IL_AD,ENDEKSA_ILCE,ENDEKSA_ILCE_AD,LATLOT,SLUG
20,Denizli,1840,Serinhisar,[29.3071273057758, 37.6036192202714],denizli-serinhisar
20,Denizli,1871,Pamukkale,[29.1541818847184, 37.9014458148383],denizli-pamukkale
20,Denizli,1881,Baklan,[29.5826055785448, 38.0179423311771],denizli-baklan
20,Denizli,1888,Beyağaç,[28.8773106207089, 37.2155638412379],denizli-beyagac
20,Denizli,1889,Bozkurt,[29.5774559032949, 37.8323852211088],denizli-bozkurt
20,Denizli,2079,Merkezefendi,[29.0164536682651, 37.8095265977514],denizli-merkezefendi
20,Denizli,9980,Denizli Il Geneli,,Denizli Il Geneli
21,Diyarbakır,1195,Bismil,[40.7594505053528, 37.8642471019476],diyarbakir-bismil
21,Diyarbakır,1249,Çermik,[39.4364192660181, 38.0582326243136],diyarbakir-cermik
21,Diyarbakır,1253,Çınar,[40.2260170452397, 37.6697031909055],diyarbakir-cinar
21,Diyarbakır,1263,Çüngüş,[39.313372814721, 38.2437756628213],diyarbakir-cungus
21,Diyarbakır,1278,Dicle,[40.1358693853304, 38.3526139471684],diyarbakir-dicle
21,Diyarbakır,1315,Ergani,[39.7432212106246, 38.1137553667571],diyarbakir-ergani
21,Diyarbakır,1381,Hani,[40.3903732074636, 38.4136218331517],diyarbakir-hani
21,Diyarbakır,1389,Hazro,[40.7457435017382, 38.2329340846284],diyarbakir-hazro
21,Diyarbakır,1490,Kulp,[41.0785237006166, 38.4984613021082],diyarbakir-kulp
21,Diyarbakır,1504,Lice,[40.665413067617, 38.4548568819802],diyarbakir-lice
21,Diyarbakır,1624,Silvan,[40.9666358421272, 38.1284406166323],diyarbakir-silvan
21,Diyarbakır,1791,Eğil,[40.0947636739372, 38.199285322305],diyarbakir-egil
21,Diyarbakır,1962,Kocaköy,[40.5207155475205, 38.2553641554178],diyarbakir-kocakoy
21,Diyarbakır,2040,Bağlar,[40.0141196843679, 37.8283697661079],diyarbakir-baglar
21,Diyarbakır,2041,Kayapınar,[39.9837226336249, 37.980141859113],diyarbakir-kayapinar
21,Diyarbakır,9979,Diyarbakır Il Geneli,,Diyarbakır Il Geneli
22,Edirne,1295,Edirne Merkez,[26.5813089962509, 41.6964859381002],edirne-edirne-merkez
22,Edirne,1307,Enez,[26.2081878355415, 40.6890436381414],edirne-enez
22,Edirne,1385,Havsa,[26.82676683726, 41.5606280619046],edirne-havsa
22,Edirne,1412,İpsala,[26.407154458957, 40.9092819437701],edirne-ipsala
22,Edirne,1464,Keşan,[26.5877518830243, 40.7873979047757],edirne-kesan
22,Edirne,1502,Lalapaşa,[26.7670570533257, 41.8939008757412],edirne-lalapasa
22,Edirne,1523,Meriç,[26.4343337548035, 41.1857751630064],edirne-meric
22,Edirne,1705,Uzunköprü,[26.7260836187149, 41.238379915176],edirne-uzunkopru
22,Edirne,9978,Edirne Il Geneli,,Edirne Il Geneli
23,Elazığ,1110,Ağın,[38.6714911241346, 38.9467003965879],elazig-agin
23,Elazığ,1173,Baskil,[38.6545632120554, 38.5601396876651],elazig-baskil
23,Elazığ,1298,Elazığ Merkez,[39.2112917191047, 38.6639009293823],elazig-elazig-merkez
23,Elazığ,1438,Karakoçan,[40.0613564753196, 38.9970882071423],elazig-karakocan
23,Elazığ,1455,Keban,[38.7557724309762, 38.7629877451325],elazig-keban
23,Elazığ,1506,Maden,[39.5803238493625, 38.4230684485048],elazig-maden
23,Elazığ,1566,Palu,[40.047939686666, 38.6851850327414],elazig-palu
23,Elazığ,1631,Sivrice,[39.185239796932, 38.4070831593408],elazig-sivrice
23,Elazığ,1762,Arıcak,[40.1235225596799, 38.5246300800507],elazig-aricak
23,Elazığ,1820,Kovancılar,[39.8048277773567, 38.7598864135292],elazig-kovancilar
23,Elazığ,1873,Alacakaya,[39.8682998172034, 38.47962322806],elazig-alacakaya
24,Erzincan,1243,Çayırlı,[39.9660133532267, 39.8488482113232],erzincan-cayirli
24,Erzincan,1318,Erzincan Merkez,[39.4547840937431, 39.728220316112],erzincan-erzincan-merkez
24,Erzincan,1406,İliç,[38.5536231027228, 39.5315517986974],erzincan-ilic
24,Erzincan,1459,Kemah,[39.0411508606034, 39.601543265584],erzincan-kemah
24,Erzincan,1460,Kemaliye,[38.5851712882212, 39.223272114391],erzincan-kemaliye
24,Erzincan,1583,Refahiye,[38.7568240889252, 39.887843855365],erzincan-refahiye
24,Erzincan,1675,Tercan,[40.3783702555755, 39.7109018083387],erzincan-tercan
24,Erzincan,1853,Üzümlü,[39.8597686564668, 39.6686339890166],erzincan-uzumlu
24,Erzincan,1977,Otlukbeli,[40.0565887269064, 39.9966098192075],erzincan-otlukbeli
